"filename", "language", "JavaScript", "Markdown", "TypeScript", "HTML", "JSON", "JSON with Comments", "SCSS", "vue", "CSS", "comment", "blank", "total"
"d:\term5\projectALL\CloudLX\CloudLX\src\uni_modules\cc-inputSelView\package.json", "JSON", 0, 0, 0, 0, 86, 0, 0, 0, 0, 0, 0, 86
"d:\term5\projectALL\CloudLX\CloudLX\src\uni_modules\cc-inputSelView\readme.md", "Markdown", 0, 107, 0, 0, 0, 0, 0, 0, 0, 0, 52, 159
"d:\term5\projectALL\CloudLX\CloudLX\src\uni_modules\vk-uview-ui\changelog.md", "Markdown", 0, 170, 0, 0, 0, 0, 0, 0, 0, 0, 3, 173
"d:\term5\projectALL\CloudLX\CloudLX\src\uni_modules\vk-uview-ui\components\u--text\u--text.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 1, 29
"d:\term5\projectALL\CloudLX\CloudLX\src\uni_modules\vk-uview-ui\components\u-action-sheet\u-action-sheet.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 237, 0, 0, 10, 247
"d:\term5\projectALL\CloudLX\CloudLX\src\uni_modules\vk-uview-ui\components\u-alert-tips\u-alert-tips.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 240, 0, 0, 21, 261
"d:\term5\projectALL\CloudLX\CloudLX\src\uni_modules\vk-uview-ui\components\u-avatar-cropper\u-avatar-cropper.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 284, 0, 4, 15, 303
"d:\term5\projectALL\CloudLX\CloudLX\src\uni_modules\vk-uview-ui\components\u-avatar-cropper\weCropper.js", "JavaScript", 920, 0, 0, 0, 0, 0, 0, 0, 0, 180, 157, 1257
"d:\term5\projectALL\CloudLX\CloudLX\src\uni_modules\vk-uview-ui\components\u-avatar\u-avatar.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 261, 0, 0, 10, 271
"d:\term5\projectALL\CloudLX\CloudLX\src\uni_modules\vk-uview-ui\components\u-back-top\u-back-top.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 148, 0, 0, 6, 154
"d:\term5\projectALL\CloudLX\CloudLX\src\uni_modules\vk-uview-ui\components\u-badge\u-badge.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 200, 0, 0, 17, 217
"d:\term5\projectALL\CloudLX\CloudLX\src\uni_modules\vk-uview-ui\components\u-button\u-button.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 621, 0, 0, 41, 662
"d:\term5\projectALL\CloudLX\CloudLX\src\uni_modules\vk-uview-ui\components\u-calendar\u-calendar.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 657, 0, 1, 25, 683
"d:\term5\projectALL\CloudLX\CloudLX\src\uni_modules\vk-uview-ui\components\u-car-keyboard\u-car-keyboard.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 254, 0, 0, 14, 268
"d:\term5\projectALL\CloudLX\CloudLX\src\uni_modules\vk-uview-ui\components\u-card\u-card.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 289, 0, 0, 12, 301
"d:\term5\projectALL\CloudLX\CloudLX\src\uni_modules\vk-uview-ui\components\u-cell-group\u-cell-group.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 65, 0, 0, 6, 71
"d:\term5\projectALL\CloudLX\CloudLX\src\uni_modules\vk-uview-ui\components\u-cell-item\u-cell-item.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 300, 0, 0, 18, 318
"d:\term5\projectALL\CloudLX\CloudLX\src\uni_modules\vk-uview-ui\components\u-checkbox-group\u-checkbox-group.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 174, 0, 0, 5, 179
"d:\term5\projectALL\CloudLX\CloudLX\src\uni_modules\vk-uview-ui\components\u-checkbox\u-checkbox.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 323, 0, 0, 16, 339
"d:\term5\projectALL\CloudLX\CloudLX\src\uni_modules\vk-uview-ui\components\u-circle-progress\u-circle-progress.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 222, 0, 1, 5, 228
